"Step","dual_agent_nyc_man_south_mode0 - combined/total_reward","dual_agent_nyc_man_south_mode0 - combined/total_reward__MIN","dual_agent_nyc_man_south_mode0 - combined/total_reward__MAX"
"4140","16668.56818006993","16668.56818006993","16668.56818006993"
"4148","17438.739478465977","17438.739478465977","17438.739478465977"
"4162","17299.339363830615","17299.339363830615","17299.339363830615"
"4163","16814.046477716736","16814.046477716736","16814.046477716736"
"4175","16925.84595626596","16925.84595626596","16925.84595626596"
"4181","16981.46978452104","16981.46978452104","16981.46978452104"
"4184","17162.0786492674","17162.0786492674","17162.0786492674"
"4212","17650.5447479465","17650.5447479465","17650.5447479465"
"4213","17918.680750610503","17918.680750610503","17918.680750610503"
"4229","17573.630343240093","17573.630343240093","17573.630343240093"
"4247","16426.165950299703","16426.165950299703","16426.165950299703"
"4281","17746.443129509382","17746.443129509382","17746.443129509382"
"4295","16990.92563400489","16990.92563400489","16990.92563400489"
"4318","17645.0243987679","17645.0243987679","17645.0243987679"
"4321","17730.42883871684","17730.42883871684","17730.42883871684"
"4337","17365.13087096237","17365.13087096237","17365.13087096237"
"4341","17183.7250451493","17183.7250451493","17183.7250451493"
"4349","17291.781483793988","17291.781483793988","17291.781483793988"
"4358","18086.398702491955","18086.398702491955","18086.398702491955"
"4359","17349.395034826288","17349.395034826288","17349.395034826288"
"4369","17646.41489557665","17646.41489557665","17646.41489557665"
"4377","17589.09301676102","17589.09301676102","17589.09301676102"
"4379","17081.689527583527","17081.689527583527","17081.689527583527"
"4392","17725.319816322568","17725.319816322568","17725.319816322568"
"4402","17591.699566072817","17591.699566072817","17591.699566072817"
"4413","17147.802305888552","17147.802305888552","17147.802305888552"
"4415","17845.38331598957","17845.38331598957","17845.38331598957"
"4420","17583.78983061383","17583.78983061383","17583.78983061383"
"4424","17621.650884754137","17621.650884754137","17621.650884754137"
"4425","17360.046145826396","17360.046145826396","17360.046145826396"
"4429","17486.248314851815","17486.248314851815","17486.248314851815"
"4443","17209.669397685648","17209.669397685648","17209.669397685648"
"4445","17517.43961469087","17517.43961469087","17517.43961469087"
"4447","18038.28834149184","18038.28834149184","18038.28834149184"
"4453","16196.112442945945","16196.112442945945","16196.112442945945"
"4465","16783.83660930736","16783.83660930736","16783.83660930736"
"4478","17407.680780636038","17407.680780636038","17407.680780636038"
"4481","16600.970555555556","16600.970555555556","16600.970555555556"
"4487","17479.63926567877","17479.63926567877","17479.63926567877"
"4489","17243.9783018648","17243.9783018648","17243.9783018648"
"4491","17704.351222860478","17704.351222860478","17704.351222860478"
"4494","17480.141159812414","17480.141159812414","17480.141159812414"
"4502","17213.993162753915","17213.993162753915","17213.993162753915"
"4505","17463.689690087693","17463.689690087693","17463.689690087693"
"4510","17875.49066372517","17875.49066372517","17875.49066372517"
"4526","17338.674469225218","17338.674469225218","17338.674469225218"
"4527","16840.38866699967","16840.38866699967","16840.38866699967"
"4553","17178.395665140415","17178.395665140415","17178.395665140415"
"4579","17002.66907600733","17002.66907600733","17002.66907600733"
"4609","17850.78555106005","17850.78555106005","17850.78555106005"
"4618","17435.799667249423","17435.799667249423","17435.799667249423"
"4631","17062.87410830836","17062.87410830836","17062.87410830836"
"4637","17721.05910717061","17721.05910717061","17721.05910717061"
